 ,None
 ,None
 ,None
 ,None
 ,None
 ,None
 ,None
 ,None
 ,None
 ,None
The Little Mermaid ,None
Aristocats ,"Aristocracy (Greek: ἀριστοκρατία aristokratía, from ἄριστος aristos 'excellent', and κράτος, kratos 'rule') is a form of government that places strength in the hands of a small, privileged ruling class, the aristocrats. The term derives from the Greek aristokratia, meaning 'rule of the best'.At the time of the word's origins in ancient Greece, the Greeks conceived it as rule by the best-qualified citizens—and often contrasted it favorably with monarchy, rule by an individual. The term was first used by such ancient Greeks as Aristotle and Plato, who used it to describe a system where only the best of the citizens, chosen through a careful process of selection, would become rulers, and hereditary rule would actually have been forbidden, unless the rulers' children performed best and were better endowed with the attributes that make a person fit to rule compared with every other citizen in the polity. Hereditary rule in this understanding is more related to Oligarchy, a corrupted form of Aristocracy where there is rule by a few, but not by the best. Plato, Socrates, Aristotle, Xenophon and the Spartans considered Aristocracy (the ideal form of rule by the few) to be inherently better than the ideal form of rule by the many (Democracy), but they also considered the corrupted form of Aristocracy (Oligarchy) to be worse than the corrupted form of Democracy (Mob Rule). This belief was rooted in the assumption that the masses could only produce average policy, while the best of men could produce the best policy, if they were indeed the best of men.Later Polybius in his analysis of the Roman Constitution used the concept of aristocracy to describe his conception of a republic as a mixed form of government, along with democracy and monarchy in their conception from then, as a system of checks and balances, where each element checks the excesses of the other.In practice, aristocracy often leads to hereditary government, after which the hereditary monarch appoints officers as they see fit.In modern times, aristocracy was usually seen as rule by a privileged group, the aristocratic class, and has since been contrasted with democracy."
Atlantis ,"The Atlantic Ocean is the second-largest of the world's oceans, with an area of about 106,460,000 km2 (41,100,000 sq mi). It covers approximately 20 percent of Earth's surface and about 29 percent of its water surface area. It is known to separate the ""Old World"" from the ""New World"" in the European perception of the World.The Atlantic Ocean occupies an elongated, S-shaped basin extending longitudinally between Europe and Africa to the east, and the Americas to the west. As one component of the interconnected World Ocean, it is connected in the north to the Arctic Ocean, to the Pacific Ocean in the southwest, the Indian Ocean in the southeast, and the Southern Ocean in the south (other definitions describe the Atlantic as extending southward to Antarctica). The Atlantic Ocean is divided in two parts, by the Equatorial Counter Current, with the North(ern) Atlantic Ocean and the South(ern) Atlantic Ocean at about 8°N.Scientific explorations of the Atlantic include the Challenger expedition, the German Meteor expedition, Columbia University's Lamont-Doherty Earth Observatory and the United States Navy Hydrographic Office."
 ,None
101 Dalmatians ,None
Mulan ,"Hua Mulan (traditional Chinese: 花木蘭; simplified Chinese: 花木兰) is a legendary folk heroine from the Northern and Southern dynasties era (4th to 6th century AD) of Chinese history.According to legend, Mulan took her aged father's place in the conscription for the army by disguising herself as a man. In the story, after prolonged and distinguished military service against nomadic hordes beyond the northern frontier, Mulan is honored by the emperor but declines a position of high office. She retires to her hometown, where she is reunited with her family and reveals her gender, much to the astonishment of her comrades. Scholars are divided on whether Mulan was more likely a real person or a fictional character of legend. Hua Mulan is depicted in the Wu Shuang Pu (無雙譜, Table of Peerless Heroes) by Jin Guliang."
 ,None
The Lion King ,"The Lion King is a 1994 American animated musical film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. It is the 32nd Disney animated feature film, and the fifth animated film produced during a period known as the Disney Renaissance. The Lion King was directed by Roger Allers and Rob Minkoff, produced by Don Hahn, and has a screenplay credited to Irene Mecchi, Jonathan Roberts, and Linda Woolverton. Its original songs were written by composer Elton John and lyricist Tim Rice, with a score by Hans Zimmer. The film features an ensemble voice cast that includes Matthew Broderick, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Moira Kelly, Nathan Lane, Ernie Sabella, Rowan Atkinson, Robert Guillaume, Madge Sinclair (in her last film role), Whoopi Goldberg, Cheech Marin, and Jim Cummings. The story takes place in a kingdom of lions in Africa and was influenced by the Biblical stories of Joseph and Moses, and William Shakespeare's Hamlet.The Lion King tells the story of Simba (Swahili for lion), a young lion who is to succeed his father, Mufasa, as King of the Pride Lands; however, after Simba's paternal uncle Scar murders Mufasa to seize the throne, Simba is manipulated into thinking he was responsible and flees into exile. After growing up in the company of the carefree outcasts Timon and Pumbaa, Simba receives valuable perspective from his childhood friend, Nala, and his shaman, Rafiki, before returning to challenge Scar to end his tyranny and take his place in the Circle of Life as the rightful King.Development of The Lion King began in 1988 during a meeting between Jeffrey Katzenberg, Roy E. Disney, and Peter Schneider while promoting Oliver & Company in Europe. Thomas M. Disch wrote a film treatment, and Woolverton developed the first scripts, while George Scribner was signed on as director, being later joined by Allers. Production began in 1991 concurrently with Pocahontas, which wound up attracting many of Disney's top animators. Some time after the staff traveled to Hell's Gate National Park in Kenya to research the film's setting and animals, Scribner left production, disagreeing with the decision to turn the film into a musical, and was replaced by Minkoff. When Hahn joined the project, he was dissatisfied with the script and the story was promptly rewritten. Nearly 20 minutes of animation sequences were produced at the Disney-MGM Studios theme park in Florida. Computer animation was also used in several scenes, most notably in the wildebeest stampede sequence.The Lion King was released on June 15, 1994, to critical acclaim, praising the film for its music, story, themes, and animation. With an initial worldwide gross of $763 million, it finished its theatrical run as the highest-grossing film of 1994 and the highest-grossing animated film. It is also the highest-grossing traditionally animated film of all time, as well as the best-selling film on home video, having sold over 30 million VHS tapes. On release, the film drew some controversy in Japan for its perceived similarities to Osamu Tezuka's 1960s anime series Kimba the White Lion. The Lion King garnered two Academy Awards for its achievement in music and the Golden Globe Award for Best Motion Picture – Musical or Comedy. The film has led to many derived works, such as a Broadway adaptation in 1997; two direct-to-video follow-ups—the sequel, The Lion King II: Simba's Pride (1998), and the prequel/parallel, The Lion King 1½ (2004); two television series, Timon and Pumbaa and The Lion Guard; a 3D re-release in 2011; and a photorealistic remake in 2019, which also became the highest-grossing animated film at the time of its release.In 2016, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant"". It is, as of December 2019, the only Disney film to have been dubbed in Zulu, the only African language aside from Arabic to have been used for a feature-length Disney dub."
 ,None
 ,None
Toy Story ,None
Beauty and the Beast ,None
 ,None
Peter Pan ,None
Ducktales ,None
Talespin ,None
Winnie the Pooh ,"Winnie-the-Pooh, also called Pooh Bear and Pooh, is a fictional anthropomorphic teddy bear created by English author A. A. Milne and English illustrator E. H. Shepard.The first collection of stories about the character was the book Winnie-the-Pooh (1926), and this was followed by The House at Pooh Corner (1928). Milne also included a poem about the bear in the children's verse book When We Were Very Young (1924) and many more in Now We Are Six (1927). All four volumes were illustrated by E. H. Shepard.The Pooh stories have been translated into many languages, including Alexander Lenard's Latin translation, Winnie ille Pu, which was first published in 1958, and, in 1960, became the only Latin book ever to have been featured on The New York Times Best Seller list.In 1961, Walt Disney Productions licensed certain film and other rights of Milne's Winnie-the-Pooh stories from the estate of A. A. Milne and the licensing agent Stephen Slesinger, Inc., and adapted the Pooh stories, using the unhyphenated name ""Winnie the Pooh"", into a series of features that would eventually become one of its most successful franchises.In popular film adaptations, Pooh has been voiced by actors Sterling Holloway, Hal Smith, and Jim Cummings in English, and Yevgeny Leonov in Russian."
Hercules ,"Hercules (US: ; UK: ) is the Roman equivalent of the Greek divine hero Heracles, son of Jupiter and the mortal Alcmene. In classical mythology, Hercules is famous for his strength and for his numerous far-ranging adventures.The Romans adapted the Greek hero's iconography and myths for their literature and art under the name Hercules. In later Western art and literature and in popular culture, Hercules is more commonly used than Heracles as the name of the hero. Hercules is a multifaceted figure with contradictory characteristics, which enabled later artists and writers to pick and choose how to represent him. This article provides an introduction to representations of Hercules in the later tradition."
 ,None
Robin Hood ,None
 ,None
 ,None
