Buck Mountain,None
Cumberland Knob,"The Blue Ridge Parkway is a National Parkway and All-American Road in the United States, noted for its scenic beauty. The parkway, which is America's longest linear park, runs for 469 miles (755 km) through 29 Virginia and North Carolina counties, linking Shenandoah National Park to Great Smoky Mountains National Park. It runs mostly along the spine of the Blue Ridge, a major mountain chain that is part of the Appalachian Mountains. Its southern terminus is at U.S. Route 441 (US 441) on the boundary between Great Smoky Mountains National Park and the Qualla Boundary of the Eastern Band of Cherokee Indians in North Carolina, from which it travels north to Shenandoah National Park in Virginia. The roadway continues through Shenandoah as Skyline Drive, a similar scenic road which is managed by a different National Park Service unit. Both  Skyline Drive and the Virginia portion of the Blue Ridge Parkway are part of Virginia State Route 48 (SR 48), though this designation is not signed.The parkway has been the most visited unit of the National Park System every year since 1946 except four (1949, 2013, 2016 and 2019). Land on either side of the road is owned and maintained by the National Park Service, and in many places parkway land is bordered by United States Forest Service property. There is no fee for using the parkway; however, commercial vehicles are prohibited without approval from the Park Service Headquarters, near Asheville, North Carolina. The roadway is not maintained in the winter, and sections that pass over especially high elevations and through tunnels are often impassable and therefore closed from late fall through early spring. Weather is extremely variable in the mountains, so conditions and closures often change rapidly. The speed limit is never higher than 45 mph (72 km/h) and is lower in some sections.In addition to the road, the parkway has a folk art center located at mile marker 382 and a visitor center located at mile marker 384, both near Asheville.  There are also numerous parking areas at trailheads for the various hiking trails that intersect the parkway, and several campgrounds located along the parkway allow for overnight stays. The Blue Ridge Music Center (also part of the park) is located in Galax, and Mount Mitchell (the highest point in eastern North America) is only accessible via North Carolina Highway 128 (NC 128), which intersects the parkway at milepost 355.4."
Fisher Peak,"Fishers Peak is a spur of the Ratón Mesa, which reaches the highest elevation of  the collective mesas of the Ratón formation commencing at the Sangre de Cristo Mountains, a subset of the Rocky Mountains, from the west, 90 miles eastward to the Oklahoma border. Ratón Mesas include Black Mesa, Johnson Mesa, and Mesa de Maya. The prominent 9,633-foot (2,936 m) mesa is located 5.5 miles (8.8 km) south by east (bearing 163°) of the Town of Trinidad in Las Animas County, Colorado, United States.  Fishers Peak is higher than any point in the United States east of its longitude."
Fulcher Mountain,"Surry County is a county located in the U.S. state of North Carolina. As of the 2010 census, the population was 73,673. Its county seat is Dobson, and its largest city is Mount Airy.Surry county comprises the Mount Airy, NC Micropolitan Statistical Area, which is also included in the Greensboro-Winston-Salem-High Point, NC Combined Statistical Area."
Fulcher Mountain,"Surry County is a county located in the U.S. state of North Carolina. As of the 2010 census, the population was 73,673. Its county seat is Dobson, and its largest city is Mount Airy.Surry county comprises the Mount Airy, NC Micropolitan Statistical Area, which is also included in the Greensboro-Winston-Salem-High Point, NC Combined Statistical Area."
Lens Knob,"A control knob is a rotary device used to provide manual input adjustments to a mechanical/electrical system when grasped and turned by a human operator, so that differing extent of knob rotation corresponds to different desired input. Control knobs are a simpler type of input hardware and one of the most common components in control systems, and are found on all sorts of devices from taps and gas stoves to optical microscopes, potentiometers, radio tuners and digital cameras, as well as in aircraft cockpits."
Long Branch Mountain,"The Long Branch Saloon was a well-known saloon in Dodge City, Kansas from about 1874 to 1885. It had numerous owners, most notably Chalk Beeson and gunfighter Luke Short. The establishment provided gambling and live entertainment, including Beeson's five-person orchestra. It was the scene of several altercations, shoot-outs, gunfights, and standoffs often associated with cattle towns in the American wild west. Most famous was the 1879 Long Branch Saloon Gunfight, in which Frank Loving killed Levi Richardson."
Pilot Mountain,None
Racoon Mountain,"The raccoon ( or US:  (listen), Procyon lotor), sometimes called the common raccoon to distinguish it from other species, is a medium-sized mammal native to North America. It is the largest of the procyonid family, having a body length of 40 to 70 cm (16 to 28 in), and a body weight of 5 to 26 kg (11 to 57 lb). Its grayish coat mostly consists of dense underfur, which insulates it against cold weather. Three of the raccoon's most distinctive features are its extremely dexterous front paws, its facial mask, and its ringed tail, which are themes in  the mythologies of the indigenous peoples of the Americas relating to the animal. The raccoon is noted for its intelligence, as studies show that it is able to remember the solution to tasks for at least three years. It is usually nocturnal and omnivorous, eating about 40% invertebrates, 33% plants, and 27% vertebrates.The original habitats of the raccoon are deciduous and mixed forests, but due to their adaptability, they have extended their range to mountainous areas, coastal marshes, and urban areas, where some homeowners consider them to be pests. As a result of escapes and deliberate introductions in the mid-20th century, raccoons are now also distributed across much of mainland Europe, the Caucasus, and Japan.In Europe, the raccoon is included since 2016 in the list of Invasive Alien Species of Union concern (the Union list). This implies that this species cannot be imported, bred, transported, commercialized, or intentionally released into the environment in the whole of the European Union.Though previously thought to be generally solitary, there is now evidence that raccoons engage in sex-specific social behavior. Related females often share a common area, while unrelated males live together in groups of up to four raccoons, in order to maintain their positions against foreign males during the mating season, and other potential invaders. Home range sizes vary anywhere from 3 hectares (7.4 acres) for females in cities, to 5,000 hectares (12,000 acres) for males in prairies. After a gestation period of about 65 days, two to five young, known as ""kits"", are born in spring. The kits are subsequently raised by their mother until dispersal in late fall. Although captive raccoons have been known to live over 20 years, their life expectancy in the wild is only 1.8 to 3.1 years. In many areas, hunting and vehicular injury are the two most common causes of death."
Raven Knob,"Raven Knob Scout Reservation is a 3200 acre Boy Scout camp operated by the Old Hickory Council of the Boy Scouts of America.  The reservation is located in Surry County, North Carolina, United States."
